RecordNumber,Country,City,Zipcode,State
39828,US,MESA,85210,AZ
39827,US,MESA,85209,AZ
61392,US,FORT WORTH,76177,TX
61393,US,FT WORTH,76177,TX
61391,US,CINGULAR WIRELESS,76166,TX
54354,US,SPRING GARDEN,36275,AL
54356,US,SPRUCE PINE,35585,AL
54355,US,SPRINGVILLE,35146,AL
49348,US,HOMOSASSA,34487,FL
49346,US,HOLDER,34445,FL
49347,US,HOLT,32564,FL
49345,US,HILLIARD,32046,FL
76513,US,ASHEBORO,27204,NC
76512,US,ASHEBORO,27203,NC
76511,US,ASH HILL,27007,NC
10,US,BDA SAN LUIS,709,PR
1,US,PARC PARQUE,704,PR
2,US,PASEO COSTA DEL SUR,704,PR
4,US,URB EUGENE RICE,704,PR
3,US,SECT LANAUSSE,704,PR
